Sport,League,Match,Bet Type,Bet,Odds,Edge,Confidence,Stake,Info,Date_Generated,Result,Profit,Score
Soccer,soccer_france_ligue_one,AS Monaco vs Paris Saint Germain,Moneyline,Home Win,5.1,0.4898727824941811,0.29213191813611394,0.03349638501250159,Best: FanDuel,2025-11-27,,,
Soccer,soccer_france_ligue_one,Marseille vs Toulouse,Moneyline,Draw,4.1,0.188446849440419,0.2898650852293705,0.016826081805881007,Best: BetRivers,2025-11-27,,,
Soccer,soccer_france_ligue_one,Marseille vs Toulouse,Moneyline,Away Win,5.6,0.2819592432792317,0.22892129344271997,0.01696618950144095,Best: BetRivers,2025-11-27,,,
Soccer,soccer_france_ligue_one,Strasbourg vs Brest,Moneyline,Draw,3.75,0.08414940043944497,0.28910650678385197,0.008767113399529685,Best: BetMGM,2025-11-27,,,
Soccer,soccer_france_ligue_one,Strasbourg vs Brest,Moneyline,Away Win,4.25,0.6600858070249411,0.39060842518233907,0.05819093369581385,Best: Bovada,2025-11-27,,,
Soccer,soccer_france_ligue_one,Angers vs RC Lens,Moneyline,Away Win,1.74,0.25990068096705743,0.7240808511304928,0.09345080745772442,Best: DraftKings,2025-11-27,,,
Soccer,soccer_france_ligue_one,Le Havre vs Lille,Moneyline,Away Win,1.91,0.1748940073846541,0.6151277525574106,0.054819250813028256,Best: LowVig.ag,2025-11-27,,,
Soccer,soccer_france_ligue_one,Lorient vs Nice,Moneyline,Away Win,2.9,0.6545765066686202,0.5705436229891794,0.09700595264373221,Best: Bovada,2025-11-27,,,
Soccer,soccer_france_ligue_one,Lyon vs Nantes,Moneyline,Away Win,7.0,0.21923922926216766,0.17417703275173824,0.010311202285411067,Best: FanDuel,2025-11-27,,,
Soccer,soccer_france_ligue_one,Lille vs Marseille,Moneyline,Home Win,2.61,0.10899596903440512,0.4249026701281246,0.019129013226267828,Best: Bovada,2025-11-27,,,
Soccer,soccer_france_ligue_one,Paris Saint Germain vs Rennes,Moneyline,Draw,6.0,0.5578096949526763,0.2596349491587794,0.030742666365597013,Best: DraftKings,2025-11-27,,,
Soccer,soccer_france_ligue_one,Paris Saint Germain vs Rennes,Moneyline,Away Win,9.0,0.7657623270306158,0.19619581411451287,0.026377248311857775,Best: BetRivers,2025-11-27,,,
Soccer,soccer_france_ligue_one,Nice vs Angers,Moneyline,Home Win,1.74,0.26348938129234,0.7261433225818046,0.09546498855003795,Best: DraftKings,2025-11-27,,,
Soccer,soccer_france_ligue_one,Lorient vs Lyon,Moneyline,Draw,3.55,0.156403935909472,0.325747587580133,0.017754143275782126,Best: BetRivers,2025-11-27,,,
Soccer,soccer_france_ligue_one,Lorient vs Lyon,Moneyline,Away Win,2.25,0.2245933159029352,0.5442636959568601,0.052009063887808044,Best: FanDuel,2025-11-27,,,
